county_name,total_county_population,median_household_income,aggregate_household_income,per_capita_income,median_family_income,poverty_status_total_population,income_below_poverty_level,poverty_white_alone_total,poverty_white_alone_below_poverty,poverty_black_alone_total,poverty_black_alone_below_poverty,poverty_hispanic_total,poverty_hispanic_below_poverty,poverty_ratio_total,poverty_ratio_under_50_pct,poverty_ratio_50_99_pct,poverty_children_under_18_total,poverty_children_under_18_below_poverty,snap_total_households,snap_received_past_12mo,public_assistance_total_households,public_assistance_received,ssi_total_households,ssi_received,health_insurance_total,health_insurance_no_coverage,medicaid_means_tested_total,medicaid_means_tested_coverage,education_total_25_plus,education_high_school_diploma,education_bachelors_degree,education_masters_degree,employment_pop_16_plus,employment_civilian_labor_force,employment_employed,employment_unemployed,disability_total_pop,disability_male_under_5_with_disability,disability_male_5_17_with_disability,disability_male_18_34_with_disability,disability_male_35_64_with_disability,disability_male_65_74_with_disability,disability_male_75_plus_with_disability,disability_female_under_5_with_disability,disability_female_5_17_with_disability,disability_female_18_34_with_disability,disability_female_35_64_with_disability,disability_female_65_74_with_disability,disability_female_75_plus_with_disability,rent_burden_total_renters,rent_burden_50_plus_pct,median_gross_rent,families_with_children_total,families_female_householder_with_children,total_population,white_alone,black_alone,asian_alone,total_population_ethnicity,hispanic_or_latino,total_households,average_household_size,total_households_composition,family_households,married_couple_family,householder_living_alone,total_population_gender,male_population,female_population,median_age,median_home_value,language_total_5_plus,language_speak_only_english,english_proficiency_total_5_plus,english_speak_not_well,nativity_total,foreign_born,vehicles_total_households,vehicles_none,mean_travel_time_to_work,veteran_total_18_plus,veteran_population,state_fips,county_fips,white_pct,black_pct,asian_pct,hispanic_pct,male_pct,female_pct,family_household_pct,snap_participation_rate,public_assistance_rate,ssi_rate,poverty_rate,uninsured_rate,medicaid_rate,child_poverty_rate,white_poverty_rate,black_poverty_rate,hispanic_poverty_rate,deep_poverty_rate,near_poverty_rate,hs_graduate_rate,bachelors_plus_rate,labor_force_participation_rate,unemployment_rate,employment_rate,disability_rate,rent_burden_severe_50_plus,single_parent_rate,veteran_rate,english_only_rate,limited_english_rate,foreign_born_rate,no_vehicle_rate,data_pulled_date,acs_year
"Columbia County, New York",61469,81741,2909341600,49093,100188,59940,6157,51761,4761,1731,573,3155,223,59940,2980,3177,9576,1280,25300,2367,25300,707,25300,1203,60224,28,60224,2485,47307,11200,8970,5838,52865,31440,29575,1865,60224,17,265,672,1337,953,1141,0,197,255,1499,999,1314,6432,1753,1114,8480,2162,61469,52887,2062,1378,61469,3338,25300,2.34,25300,16403,12581,7296,61469,31068,30401,49.3,283700,,,25300,128,61469,4105,25300,516,643195.0,51356,3522,36,021,86.04,3.35,2.24,5.43,50.54,49.46,64.83,9.36,2.79,4.75,10.27,0.05,4.13,13.37,9.2,33.1,7.07,4.97,5.3,23.68,31.3,59.47,5.93,55.94,14.36,27.25,25.5,6.86,,0.51,6.68,2.04,2025-11-24 04:14:22,2022
"Cortland County, New York",46755,65029,1465796700,31594,80814,43164,5575,39924,5078,672,82,1211,338,43164,2331,3244,8528,983,18514,2556,18514,456,18514,1110,46317,23,46317,1944,29274,7188,4387,2920,39204,24605,23285,1320,46317,11,262,445,1224,502,576,11,304,519,1050,447,809,6301,1517,884,7792,1508,46755,42782,998,596,46755,1408,18514,2.33,18514,11320,8370,5299,46755,23310,23445,36.3,148200,,,18514,0,46755,1141,18514,401,460785.0,37876,2572,36,023,91.5,2.13,1.27,3.01,49.86,50.14,61.14,13.81,2.46,6.0,12.92,0.05,4.2,11.53,12.72,12.2,27.91,5.4,7.52,24.55,24.96,62.76,5.36,59.39,13.3,24.08,19.35,6.79,,0.0,2.44,2.17,2025-11-24 04:14:22,2022
"Delaware County, New York",44637,58338,1434795200,33332,75000,42534,6295,39427,5442,463,219,1769,404,42534,2882,3413,6902,1394,18780,2315,18780,566,18780,1380,44260,56,44260,2027,33158,10480,4409,2922,38334,20500,19247,1253,44260,28,299,398,1562,895,1134,0,290,347,1290,697,1266,4290,948,785,6280,1436,44637,41231,616,360,44637,1928,18780,2.26,18780,11226,8596,6266,44637,22763,21874,48.9,160400,,,18780,48,44637,1847,18780,488,,37399,2651,36,025,92.37,1.38,0.81,4.32,51.0,49.0,59.78,12.33,3.01,7.35,14.8,0.13,4.58,20.2,13.8,47.3,22.84,6.78,8.02,31.61,22.11,53.48,6.11,50.21,18.54,22.1,22.87,7.09,,0.26,4.14,2.6,2025-11-24 04:14:22,2022
"Dutchess County, New York",296467,94578,14304880100,49379,118875,281834,24165,209266,13606,27907,4988,38094,4831,281834,12564,11601,53864,4716,113972,8421,113972,2853,113972,4876,289578,74,289578,8170,210886,44213,43496,29315,248587,155858,148109,7749,289578,0,1725,2990,5702,3322,3936,70,748,2150,6958,3879,5883,35542,9056,1425,48893,8621,296467,217242,31418,10111,296467,40137,113972,2.45,113972,73835,56960,33018,296467,148112,148355,42.9,348700,,,113972,1646,296467,33016,113972,2522,4117750.0,241151,12621,36,027,73.28,10.6,3.41,13.54,49.96,50.04,64.78,7.39,2.5,4.28,8.57,0.03,2.82,8.76,6.5,17.87,12.68,4.46,4.12,20.97,34.53,62.7,4.97,59.58,12.9,25.48,17.63,5.23,,1.44,11.14,2.21,2025-11-24 04:14:22,2022
"Erie County, New York",951232,68014,37054611900,39703,92038,928025,127623,703289,63425,117458,31962,54828,16665,928025,61928,65695,187251,35156,406547,61861,406547,12776,406547,22442,943208,335,943208,43949,671368,146340,135561,80323,782615,490302,466028,24274,943208,134,6062,9486,22395,10808,11326,250,3752,8411,26441,10814,19213,141567,36107,984,172054,43576,951232,717085,122787,41161,951232,56711,406547,2.28,406547,233370,164281,141410,951232,463713,487519,40.1,197400,,,406547,3336,951232,70049,406547,10827,8704880.0,759330,47489,36,029,75.38,12.91,4.33,5.96,48.75,51.25,57.4,15.22,3.14,5.52,13.75,0.04,4.66,18.77,9.02,27.21,30.4,6.67,7.08,21.8,32.16,62.65,4.95,59.55,13.69,25.51,25.33,6.25,,0.82,7.36,2.66,2025-11-24 04:14:22,2022
"Essex County, New York",37314,68090,1418318800,39049,81271,35200,3670,33721,3268,146,59,600,107,35200,1782,1888,5641,701,15750,1464,15750,294,15750,760,35545,28,35545,1205,28930,7489,5079,2742,32264,18218,17294,924,35545,0,148,237,1090,646,656,0,191,194,1198,524,1041,3621,710,875,5089,1063,37314,34753,977,115,37314,1066,15750,2.23,15750,9538,7118,5069,37314,19297,18017,49.2,189500,,,15750,78,37314,1517,15750,476,,31398,2348,36,031,93.14,2.62,0.31,2.86,51.72,48.28,60.56,9.3,1.87,4.83,10.43,0.08,3.39,12.43,9.69,40.41,17.83,5.06,5.36,25.89,27.03,56.47,5.07,53.6,16.67,19.61,20.89,7.48,,0.5,4.07,3.02,2025-11-24 04:14:22,2022
"Franklin County, New York",47459,60270,1457567900,30411,73285,43182,7719,37661,6459,404,129,636,191,43182,3874,3845,8835,2365,18933,3165,18933,810,18933,1535,44416,93,44416,2194,33832,8846,4152,2656,39028,20370,19321,1049,44416,3,302,560,1552,849,591,7,241,412,1413,739,1047,5510,1082,788,7771,2305,47459,39855,1656,320,47459,1422,18933,2.28,18933,11724,8939,5863,47459,25027,22432,41.9,131600,,,18933,5,47459,1848,18933,496,,37802,3098,36,033,83.98,3.49,0.67,3.0,52.73,47.27,61.92,16.72,4.28,8.11,17.88,0.21,4.94,26.77,17.15,31.93,30.03,8.97,8.9,26.15,20.12,52.19,5.15,49.51,17.37,19.64,29.66,8.2,,0.03,3.89,2.62,2025-11-24 04:14:22,2022
"Fulton County, New York",53280,60557,1724838600,33282,73200,52288,7280,47940,6365,541,245,1970,407,52288,3060,4220,10189,1602,22103,3184,22103,553,22103,1848,52559,8,52559,2617,38665,11488,4454,2442,43937,25421,24326,1095,52559,0,363,670,1840,675,894,1,419,596,2095,587,825,6838,1316,855,9153,2331,53280,48512,830,442,53280,2073,22103,2.35,22103,13918,9655,6572,53280,26734,26546,44.2,142000,,,22103,30,53280,1081,22103,550,555320.0,42600,3483,36,035,91.05,1.56,0.83,3.89,50.18,49.82,62.97,14.41,2.5,8.36,13.92,0.02,4.98,15.72,13.28,45.29,20.66,5.85,8.07,29.71,17.84,57.86,4.31,55.37,17.06,19.25,25.47,8.18,,0.14,2.03,2.49,2025-11-24 04:14:22,2022
"Genesee County, New York",58204,68178,2034171700,35053,86700,57184,5974,52161,4951,1047,258,1979,396,57184,2672,3302,11346,1037,24416,3101,24416,918,24416,1468,57666,27,57666,2589,41797,12980,5638,3390,47597,30326,28893,1433,57666,13,308,574,1811,828,934,14,137,628,1684,700,1222,6497,1332,866,10489,1944,58204,52954,1188,476,58204,2050,24416,2.34,24416,15044,11475,7309,58204,29171,29033,42.7,148600,,,24416,115,58204,1517,24416,831,,46370,3543,36,037,90.98,2.04,0.82,3.52,50.12,49.88,61.62,12.7,3.76,6.01,10.45,0.05,4.49,9.14,9.49,24.64,20.01,4.67,5.77,31.05,21.6,63.71,4.73,60.7,15.35,20.5,18.53,7.64,,0.47,2.61,3.4,2025-11-24 04:14:22,2022
"Greene County, New York",48067,70294,1677845700,38587,90989,45260,4713,40104,3898,1299,309,2736,256,45260,1961,2752,7221,770,17903,1322,17903,699,17903,965,45728,23,45728,1574,36429,10805,5892,3182,41132,22539,21909,630,45728,0,170,448,1028,639,605,53,106,318,1242,605,1080,4314,966,1013,6507,987,48067,41433,2515,533,48067,3137,17903,2.52,17903,10961,8650,5718,48067,24926,23141,47.0,229500,,,17903,57,48067,2682,17903,637,534160.0,40255,3095,36,039,86.2,5.23,1.11,6.53,51.86,48.14,61.22,7.38,3.9,5.39,10.41,0.05,3.44,10.66,9.72,23.79,9.36,4.33,6.08,29.66,24.91,54.8,2.8,53.27,13.76,22.39,15.17,7.69,,0.32,5.58,3.56,2025-11-24 04:14:22,2022
"Hamilton County, New York",5090,66891,148882700,37326,81389,5046,541,4691,480,29,11,101,29,5046,289,252,656,73,1725,93,1725,20,1725,64,5080,0,5080,144,4107,1062,548,330,4530,2342,2227,115,5080,0,22,28,225,66,144,0,11,56,149,98,105,260,51,902,575,136,5090,4706,58,16,5090,102,1725,2.83,1725,1158,1008,462,5090,2569,2521,56.4,204900,,,1725,0,5090,87,1725,39,,4422,411,36,041,92.46,1.14,0.31,2.0,50.47,49.53,67.13,5.39,1.16,3.71,10.72,0.0,2.83,11.13,10.23,37.93,28.71,5.73,4.99,25.86,21.38,51.7,4.91,49.16,17.8,19.62,23.65,9.29,,0.0,1.71,2.26,2025-11-24 04:14:22,2022
"Herkimer County, New York",60293,68104,2024658000,34394,87801,59253,7140,55478,6424,612,135,1460,364,59253,2899,4241,11977,1926,24664,3292,24664,686,24664,1618,59775,106,59775,3048,43013,12276,5719,3281,49460,29422,28198,1224,59775,9,469,619,1678,1016,1031,0,330,526,1562,632,1307,5920,1145,776,10934,2087,60293,56310,700,285,60293,1503,24664,2.39,24664,15235,12254,7669,60293,30207,30086,44.3,130900,,,24664,47,60293,1532,24664,892,624575.0,47941,3709,36,043,93.39,1.16,0.47,2.49,50.1,49.9,61.77,13.35,2.78,6.56,12.05,0.18,5.1,16.08,11.58,22.06,24.93,4.89,7.16,28.54,20.92,59.49,4.16,57.01,15.36,19.34,19.09,7.74,,0.19,2.54,3.62,2025-11-24 04:14:22,2022
"Jefferson County, New York",117445,62782,3707843400,32775,76693,111843,14310,95677,11627,5783,1111,8203,1324,111843,6627,7683,26714,4210,46099,7158,46099,1737,46099,2808,104283,267,104283,4965,74585,19423,11185,6105,92162,47050,44033,3017,104283,62,1067,1279,2866,1370,1377,0,472,997,2529,1174,2062,20976,4037,1143,25138,4777,117445,98846,6888,1842,117445,9326,46099,2.44,46099,30093,23134,12784,117445,62226,55219,32.8,169600,,,46099,350,117445,5533,46099,620,,78300,9930,36,045,84.16,5.86,1.57,7.94,52.98,47.02,65.28,15.53,3.77,6.09,12.79,0.26,4.76,15.76,12.15,19.21,16.14,5.93,6.87,26.04,23.18,51.05,6.41,47.78,14.63,19.25,19.0,12.68,,0.76,4.71,1.34,2025-11-24 04:14:22,2022
"Kings County, New York",2679620,74692,114068126800,43165,84136,2653797,503524,1070924,176257,795127,156594,501590,124109,2653797,223649,279875,594243,151821,997957,216957,997957,55946,997957,79465,2665912,2381,2665912,184905,1860601,389257,448448,227665,2135345,1359468,1260636,98832,2665912,132,9244,14905,41096,20644,26905,235,5657,13525,51446,33622,56270,695452,185901,1715,518642,130425,2679620,1082004,803621,321110,2679620,506473,997957,2.64,997957,600177,371884,295537,2679620,1279425,1400195,35.9,865300,,,997957,39234,2679620,945466,997957,83868,44563255.0,2074273,33841,36,047,40.38,29.99,11.98,18.9,47.75,52.25,60.14,21.74,5.61,7.96,18.97,0.09,6.94,25.55,16.46,19.69,24.74,8.43,10.55,20.92,36.34,63.67,7.27,59.04,10.27,26.73,25.15,1.63,,3.93,35.28,8.4,2025-11-24 04:14:22,2022
"Lewis County, New York",26690,64401,824060300,31127,74104,26429,3459,25257,3173,231,144,414,176,26429,1524,1935,5986,1112,10672,1335,10672,304,10672,602,26434,36,26434,1459,18480,7082,1987,1333,21310,12517,11871,646,26434,14,209,268,773,436,379,0,116,202,705,289,569,2052,398,768,5552,757,26690,25428,290,60,26690,439,10672,2.46,10672,7296,5747,2713,26690,13520,13170,42.0,146100,,,10672,0,26690,295,10672,304,,20484,1727,36,049,95.27,1.09,0.22,1.64,50.66,49.34,68.37,12.51,2.85,5.64,13.09,0.14,5.52,18.58,12.56,62.34,42.51,5.77,7.32,38.32,17.97,58.74,5.16,55.71,14.98,19.4,13.63,8.43,,0.0,1.11,2.85,2025-11-24 04:14:22,2022
"Livingston County, New York",61980,70443,2158424900,35673,89466,56947,6667,52749,6005,529,129,1917,444,56947,3802,2865,10746,1589,24071,2300,24071,503,24071,977,60384,29,60384,2666,41890,10898,6471,4414,52248,30341,28923,1418,60384,5,347,545,1525,677,880,0,232,441,1649,857,991,5525,1375,919,10167,1824,61980,56557,1380,606,61980,2417,24071,2.35,24071,15076,11728,7167,61980,31139,30841,41.7,159900,,,24071,83,61980,1874,24071,463,,50913,3519,36,051,91.25,2.23,0.98,3.9,50.24,49.76,62.63,9.56,2.09,4.06,11.71,0.05,4.42,14.79,11.38,24.39,23.16,6.68,5.03,26.02,25.98,58.07,4.67,55.36,13.5,24.89,17.94,6.91,,0.34,3.02,1.92,2025-11-24 04:14:22,2022
"Madison County, New York",68020,68869,2314969500,37666,89213,62575,5961,58321,5340,654,159,1128,224,62575,3075,2886,12543,1533,25218,2809,25218,957,25218,1144,67526,67,67526,2776,46161,13378,6623,4273,56785,32851,31518,1333,67526,0,292,467,1561,727,1019,3,420,884,1579,590,1244,5612,1159,867,11541,2067,68020,62497,1141,688,68020,1695,25218,2.48,25218,16476,13119,7280,68020,33809,34211,42.5,162800,,,25218,23,68020,1951,25218,542,,55152,4338,36,053,91.88,1.68,1.01,2.49,49.7,50.3,65.33,11.14,3.79,4.54,9.53,0.1,4.11,12.22,9.16,24.31,19.86,4.91,4.61,28.98,23.6,57.85,4.06,55.5,13.01,20.65,17.91,7.87,,0.09,2.87,2.15,2025-11-24 04:14:22,2022
"Monroe County, New York",756406,71450,30254942400,40937,95169,732201,98468,529761,47615,109325,32035,70221,18879,732201,45005,53463,151733,28505,314727,45368,314727,11793,314727,20030,749922,583,749922,33884,525640,99131,116878,70267,620485,394049,373267,20782,749922,145,5598,8734,18202,7829,9065,110,3547,8553,21762,8001,14749,114395,30488,1085,139626,42494,756406,546529,112897,28883,756406,72266,314727,2.32,314727,185871,130565,101697,756406,367653,388753,39.3,182700,,,314727,4491,756406,62376,314727,5644,6435190.0,601235,31359,36,055,72.25,14.93,3.82,9.55,48.61,51.39,59.06,14.42,3.75,6.36,13.45,0.08,4.52,18.79,8.99,29.3,26.89,6.15,7.3,18.86,35.6,63.51,5.27,60.16,14.17,26.65,30.43,5.22,,1.43,8.25,1.79,2025-11-24 04:14:22,2022
"Montgomery County, New York",49624,58033,1409460300,29961,75529,48859,7383,40447,5062,1541,504,7577,1730,48859,3933,3450,11210,2349,18918,3264,18918,482,18918,1085,48957,132,48957,3426,34309,10235,3799,2323,39346,23465,22079,1386,48957,0,343,599,1451,829,663,0,306,514,1723,777,866,5917,1380,867,10321,3056,49624,41127,1580,390,49624,7650,18918,2.56,18918,11352,7977,6263,49624,24788,24836,40.6,132300,,,18918,308,49624,1547,18918,730,490130.0,38227,2668,36,057,82.88,3.18,0.79,15.42,49.95,50.05,60.01,17.25,2.55,5.74,15.11,0.27,7.0,20.95,12.52,32.71,22.83,8.05,7.06,29.83,17.84,59.64,5.91,56.11,16.49,23.32,29.61,6.98,,1.63,3.12,3.86,2025-11-24 04:14:22,2022
"Nassau County, New York",1389160,137709,82234092500,60456,159334,1369875,73765,849402,35109,157152,10970,240411,22337,1369875,37697,36068,292177,16838,454771,19585,454771,7802,454771,17491,1380687,949,1380687,32653,969981,186227,254707,148541,1127987,739080,704740,34340,1380687,188,4989,7377,18357,10456,15275,176,2325,5841,18031,10907,27180,82750,23246,2131,260278,30101,1389160,861432,160936,156363,1389160,243684,454771,3.01,454771,350456,276807,87687,1389160,683660,705500,41.7,633800,,,454771,10282,1389160,316531,454771,13466,21985665.0,1090909,35821,36,059,62.01,11.59,11.26,17.54,49.21,50.79,77.06,4.31,1.72,3.85,5.38,0.07,2.36,5.76,4.13,6.98,9.29,2.75,2.63,19.2,41.57,65.52,4.65,62.48,8.77,28.09,11.56,3.28,,2.26,22.79,2.96,2025-11-24 04:14:22,2022
"New York County, New York",1645867,99880,142203214100,89702,131344,1599733,252677,820638,71916,223329,62614,418925,103438,1599733,128661,124016,232327,45099,772601,104402,772601,32625,772601,45767,1637167,613,1637167,45199,1267630,124305,410095,242911,1433287,953371,888836,64535,1637167,197,5774,10796,31181,12608,20660,25,3413,9567,31921,19503,36168,584680,135464,2024,206569,58997,1645867,842952,230583,199086,1645867,428297,772601,2.04,772601,324614,215530,361746,1645867,788264,857603,38.5,1104000,,,772601,36691,1645867,462627,772601,113473,22027375.0,1409866,27778,36,061,51.22,14.01,12.1,26.02,47.89,52.11,42.02,13.51,4.22,5.92,15.79,0.04,2.76,19.41,8.76,28.04,24.69,8.04,7.75,9.81,51.51,66.52,6.77,62.01,11.11,23.17,28.56,1.97,,4.75,28.11,14.69,2025-11-24 04:14:22,2022
"Niagara County, New York",212230,65882,7685032900,36556,85934,208545,27046,177581,17547,13549,4101,7196,1877,208545,13633,13413,41198,7502,90982,12635,90982,2784,90982,5619,210420,52,210420,9838,152567,39820,24288,13706,175473,106552,100397,6155,210420,51,1333,1988,5983,3282,3101,24,797,1719,6778,2625,4453,26432,6059,823,37707,10288,212230,180212,14059,2495,212230,7542,90982,2.29,90982,55919,40214,29410,212230,104348,107882,43.1,163100,,,90982,187,212230,8374,90982,2139,2068130.0,169858,13610,36,063,84.91,6.62,1.18,3.55,49.17,50.83,61.46,13.89,3.06,6.18,12.97,0.02,4.68,18.21,9.88,30.27,26.08,6.54,6.43,26.1,24.9,60.72,5.78,57.22,15.27,22.92,27.28,8.01,,0.21,3.95,2.35,2025-11-24 04:14:22,2022
"Oneida County, New York",231055,66402,8066356300,35284,84410,220693,31854,184312,19475,11773,5820,13683,3348,220693,15079,16775,48473,9810,92944,14353,92944,3073,92944,6072,224645,216,224645,12635,159897,40561,24775,14167,187452,107636,102865,4771,224645,27,1396,1981,6498,3021,3243,8,1072,1614,6231,2772,4872,29786,6701,889,43696,11224,231055,191180,13909,9824,231055,14936,92944,2.36,92944,57638,41392,29639,231055,115677,115378,40.9,157600,,,92944,429,231055,20123,92944,2113,,181304,13522,36,065,82.74,6.02,4.25,6.46,50.06,49.94,62.01,15.44,3.31,6.53,14.43,0.1,5.62,20.24,10.57,49.44,24.47,6.83,7.6,25.37,24.35,57.42,4.43,54.88,14.57,22.5,25.69,7.46,,0.46,8.71,2.27,2025-11-24 04:14:22,2022
"Onondaga County, New York",472637,71479,18221014700,39371,94559,453541,63066,349992,33939,50228,17717,24226,7008,453541,33763,29303,97128,20169,192785,27458,192785,6409,192785,11285,468161,296,468161,21332,324436,67313,65547,40065,384486,239433,225907,13526,468161,197,3204,4485,12169,4654,5572,200,1792,4600,13238,5215,9971,66886,17437,1002,88968,24355,472637,362589,52245,18931,472637,25562,192785,2.35,192785,114297,80927,63253,472637,229648,242989,39.4,172800,,,192785,1207,472637,37354,192785,4153,4033580.0,372768,23008,36,067,76.72,11.05,4.01,5.41,48.59,51.41,59.29,14.24,3.32,5.85,13.91,0.06,4.56,20.77,9.7,35.27,28.93,7.44,6.46,20.75,32.55,62.27,5.65,58.76,13.95,26.07,27.38,6.17,,0.63,7.9,2.15,2025-11-24 04:14:22,2022
"Ontario County, New York",112288,76603,4787394800,43046,97331,108869,9803,98925,8007,1997,463,5462,1153,108869,4559,5244,21309,2264,47080,4072,47080,1290,47080,1745,111411,111,111411,4195,80008,17124,15907,10538,93104,57588,55310,2278,111411,0,820,1025,2638,1680,1851,0,491,1120,2647,1256,2619,12947,2550,1061,20213,4450,112288,101505,2457,1588,112288,5852,47080,2.3,47080,29520,22651,13509,112288,55283,57005,43.8,192800,,,47080,332,112288,4413,47080,833,,90313,6372,36,069,90.4,2.19,1.41,5.21,49.23,50.77,62.7,8.65,2.74,3.71,9.0,0.1,3.77,10.62,8.09,23.18,21.11,4.19,4.82,21.4,33.05,61.85,3.96,59.41,14.49,19.7,22.02,7.06,,0.71,3.93,1.77,2025-11-24 04:14:22,2022
"Orange County, New York",401237,91806,15753958100,40410,109962,392337,51059,263433,33541,44467,6518,88282,11423,392337,23713,27346,99519,19253,135140,13893,135140,2545,135140,6279,393572,302,393572,24339,256375,61453,46559,27120,311785,194320,183933,10387,393572,119,2561,3400,8468,4024,3586,34,1255,2561,8765,4467,6374,43223,12516,1494,90968,13264,401237,269528,45972,11550,401237,89494,135140,2.89,135140,95359,72341,32880,401237,200761,200476,36.8,337800,,,135140,2592,401237,49076,135140,3118,5626385.0,295830,17151,36,071,67.17,11.46,2.88,22.3,50.04,49.96,70.56,10.28,1.88,4.65,13.01,0.08,6.18,19.35,12.73,14.66,12.94,6.04,6.97,23.97,28.74,62.32,5.35,58.99,11.59,28.96,14.58,5.8,,1.92,12.23,2.31,2025-11-24 04:14:22,2022
"Orleans County, New York",40148,61069,1306924500,33054,78370,38163,4801,33936,3980,1411,265,1987,419,38163,2896,1905,7509,1180,16201,2327,16201,811,16201,1031,38241,95,38241,2166,29333,9573,3434,1398,33429,18969,17816,1153,38241,4,259,487,1278,482,549,8,62,186,1500,544,557,3853,1145,840,6912,1649,40148,35018,2167,270,40148,2122,16201,2.33,16201,10468,7708,4743,40148,20464,19684,43.2,122200,,,16201,129,40148,1170,16201,423,,32437,2747,36,073,87.22,5.4,0.67,5.29,50.97,49.03,64.61,14.36,5.01,6.36,12.58,0.25,5.66,15.71,11.73,18.78,21.09,7.59,4.99,32.64,16.47,56.74,6.08,53.3,15.47,29.72,23.86,8.47,,0.8,2.91,2.61,2025-11-24 04:14:22,2022
"Oswego County, New York",118037,65054,4009121000,33904,80866,112815,19320,106229,17157,596,264,2473,1115,112815,9883,9437,23360,6556,47203,7541,47203,2046,47203,3042,117308,140,117308,6980,80294,22988,10192,5483,96515,58807,54486,4321,117308,13,961,1225,3593,1458,1639,0,611,1509,3277,1336,2007,12509,3070,899,20561,5965,118037,110043,1249,925,118037,3401,47203,2.4,47203,30002,21441,12719,118037,59486,58551,40.3,131800,,,47203,8,118037,2430,47203,1279,1225825.0,93461,8078,36,075,93.23,1.06,0.78,2.88,50.4,49.6,63.56,15.98,4.33,6.44,17.13,0.12,5.95,28.07,16.15,44.3,45.09,8.76,8.37,28.63,19.52,60.93,7.35,56.45,15.03,24.54,29.01,8.64,,0.02,2.06,2.71,2025-11-24 04:14:22,2022
"Otsego County, New York",59678,65778,1932149800,34573,82486,54636,7090,50553,6443,840,189,1789,196,54636,3367,3723,8853,1353,22305,2206,22305,426,22305,926,59041,89,59041,1931,39352,10223,7088,4509,51534,28757,27331,1426,59041,0,285,573,1527,989,934,0,264,478,1209,730,1354,5771,1196,927,8240,1574,59678,54377,1312,908,59678,2506,22305,2.42,22305,13767,10861,6937,59678,29157,30521,40.8,166500,,,22305,85,59678,2289,22305,513,,50399,3760,36,077,91.12,2.2,1.52,4.2,48.86,51.14,61.72,9.89,1.91,4.15,12.98,0.15,3.27,15.28,12.75,22.5,10.96,6.16,6.81,25.98,29.47,55.8,4.96,53.03,14.13,20.72,19.1,7.46,,0.38,3.84,2.3,2025-11-24 04:14:22,2022
"Putnam County, New York",97942,120970,5077173900,53105,137946,96699,6129,77541,4074,3198,288,16557,1447,96699,3287,2842,18694,1021,34903,1232,34903,705,34903,1284,97552,61,97552,1898,70716,15692,17119,10611,81197,52532,50210,2322,97552,23,396,722,1680,875,1208,0,141,655,1409,750,2081,5604,1399,1691,17180,2406,97942,78451,3357,2190,97942,16898,34903,2.73,34903,26324,21256,7109,97942,49280,48662,44.1,421800,,,34903,375,97942,13815,34903,807,1734300.0,78870,3584,36,079,80.1,3.43,2.24,17.25,50.32,49.68,75.42,3.53,2.02,3.68,6.34,0.06,1.95,5.46,5.25,9.01,8.74,3.4,2.94,22.19,39.21,64.7,4.42,61.84,10.19,24.96,14.0,4.54,,1.07,14.11,2.31,2025-11-24 04:14:22,2022
"Queens County, New York",2360826,82431,89272260800,39201,92848,2334022,272926,711541,70283,409504,48831,653720,89621,2334022,120768,152158,457382,63999,816859,111116,816859,35194,816859,44817,2347232,1722,2347232,122044,1709759,380181,365140,171327,1942919,1236423,1149568,86855,2347232,529,8007,11592,36313,19642,24359,218,4936,10805,42414,26814,47455,447709,115382,1847,389924,77246,2360826,720630,417637,614652,2360826,661807,816859,2.85,816859,548963,370408,211027,2360826,1155898,1204928,39.9,677700,,,816859,54364,2360826,1112847,816859,69848,43823485.0,1890192,38515,36,081,30.52,17.69,26.04,28.03,48.96,51.04,67.2,13.6,4.31,5.49,11.69,0.07,5.2,13.99,9.88,11.92,13.71,5.17,6.52,22.24,31.38,63.64,7.02,59.17,9.93,25.77,19.81,2.04,,6.66,47.14,8.55,2025-11-24 04:14:22,2022
"Rensselaer County, New York",160943,83734,6679269100,42728,104744,155156,17789,129230,11891,10405,2934,8289,1707,155156,7695,10094,29966,4962,66088,7167,66088,1390,66088,3517,159298,24,159298,6175,113385,24718,23380,13006,134206,85799,81004,4795,159298,31,1100,1656,4173,2052,2092,24,435,2021,4610,2071,2890,24581,4851,1141,28284,7636,160943,133037,10759,4998,160943,8761,66088,2.34,66088,39627,28294,20516,160943,80545,80398,40.0,230800,,,66088,133,160943,9200,66088,1184,1669620.0,130043,8755,36,083,82.66,6.68,3.11,5.44,50.05,49.95,59.96,10.84,2.1,5.32,11.47,0.02,3.88,16.56,9.2,28.2,20.59,4.96,6.51,21.8,32.09,63.93,5.59,60.36,14.54,19.73,27.0,6.73,,0.2,5.72,1.79,2025-11-24 04:14:22,2022
"Richmond County, New York",492925,96185,20813273800,43199,116052,487849,50556,323154,24851,47675,10918,91626,13731,487849,25649,24907,105353,14085,170000,21017,170000,6856,170000,9732,489423,323,489423,18226,344639,87103,72848,37678,399277,239189,226190,12999,489423,30,1493,3301,8912,4481,5183,125,881,2294,9703,5082,9063,53338,14604,1602,94056,18033,492925,326334,48670,56516,492925,92411,170000,2.86,170000,123671,90492,39652,492925,241783,251142,40.3,637100,,,170000,2701,492925,122426,170000,7103,8876220.0,385802,11522,36,085,66.2,9.87,11.47,18.75,49.05,50.95,72.75,12.36,4.03,5.72,10.36,0.07,3.72,13.37,7.69,22.9,14.99,5.26,5.11,25.27,32.07,59.91,5.43,56.65,10.33,27.38,19.17,2.99,,1.59,24.84,4.18,2025-11-24 04:14:22,2022
